prompt_id,task,model_variant,model_tag,backend,prompt_strategy,adapter,quantization,structure_compliance,evidence_faithfulness,citation_safety,format_error_rate,source_ids_used,unsupported_source_ids,latency_seconds,error,output_path
P01,uploaded_paper_summary,base,qwen3:8b,ollama,few_shot,none,user_supplied_model_tag,0.63,0.5,1.0,0,,,72.1029,,results/model_comparison/ollama_20260614/model_outputs/P01_base.md
P01,uploaded_paper_summary,lora,qwen3-research-lora:latest,ollama,few_shot,models/adapters/research_lora_adapter/,user_supplied_model_tag,0.63,0.5,1.0,0,,,133.569,,results/model_comparison/ollama_20260614/model_outputs/P01_lora.md
P02,topic_search_synthesis,base,qwen3:8b,ollama,few_shot,none,user_supplied_model_tag,0.9,1.0,1.0,0,"2101.00001,2102.00002,2103.00003,2104.00004",,32.8167,,results/model_comparison/ollama_20260614/model_outputs/P02_base.md
P02,topic_search_synthesis,lora,qwen3-research-lora:latest,ollama,few_shot,models/adapters/research_lora_adapter/,user_supplied_model_tag,0.81,1.0,1.0,0,"2101.00001,2102.00002,2103.00003,2104.00004",,32.9293,,results/model_comparison/ollama_20260614/model_outputs/P02_lora.md
P03,research_gap_identification,base,qwen3:8b,ollama,few_shot,none,user_supplied_model_tag,0.81,0.5,1.0,0,,,119.5967,,results/model_comparison/ollama_20260614/model_outputs/P03_base.md
P03,research_gap_identification,lora,qwen3-research-lora:latest,ollama,few_shot,models/adapters/research_lora_adapter/,user_supplied_model_tag,0.81,0.5,1.0,0,,,84.8531,,results/model_comparison/ollama_20260614/model_outputs/P03_lora.md
P04,citation_recommendation,base,qwen3:8b,ollama,few_shot,none,user_supplied_model_tag,0.63,0.5,1.0,0,,,66.6479,,results/model_comparison/ollama_20260614/model_outputs/P04_base.md
P04,citation_recommendation,lora,qwen3-research-lora:latest,ollama,few_shot,models/adapters/research_lora_adapter/,user_supplied_model_tag,0.63,0.5,0.5,0,,,63.8312,,results/model_comparison/ollama_20260614/model_outputs/P04_lora.md
P05,peer_review_critique,base,qwen3:8b,ollama,few_shot,none,user_supplied_model_tag,0.9,0.5,1.0,0,,,59.3555,,results/model_comparison/ollama_20260614/model_outputs/P05_base.md
P05,peer_review_critique,lora,qwen3-research-lora:latest,ollama,few_shot,models/adapters/research_lora_adapter/,user_supplied_model_tag,0.9,0.5,1.0,0,,,59.1369,,results/model_comparison/ollama_20260614/model_outputs/P05_lora.md
P06,beginner_explanation,base,qwen3:8b,ollama,few_shot,none,user_supplied_model_tag,0.72,0.5,1.0,0,,,90.4327,,results/model_comparison/ollama_20260614/model_outputs/P06_base.md
P06,beginner_explanation,lora,qwen3-research-lora:latest,ollama,few_shot,models/adapters/research_lora_adapter/,user_supplied_model_tag,0.63,0.5,1.0,0,2107.09645v1,2107.09645v1,64.7154,,results/model_comparison/ollama_20260614/model_outputs/P06_lora.md
