paper_id,track,source_words,summary_words,compression_ratio,concept_retention,entity_retention,mean_sentence_traceability,extractive_sentence_rate,rouge_l_f1_against_source,unsupported_special_claim_count,unsupported_special_claims,retained_concepts
drq_v2,nadiyah_repaired,124,47,0.379032,0.3,0.5,0.600297,0.333333,0.538012,0,[],"[""DrQ-v2"", ""data augmentation"", ""off-policy actor-critic""]"
drq_v2,reference,124,56,0.451613,0.8,0.875,1.0,1.0,0.622222,0,[],"[""DrQ-v2"", ""visual continuous control"", ""reinforcement learning"", ""data augmentation"", ""off-policy actor-critic"", ""humanoid locomotion"", ""model-free RL"", ""pixel observations""]"
siga,nadiyah_repaired,283,53,0.187279,0.5,0.444444,0.566106,0.0,0.315476,0,[],"[""SIGA"", ""coding agent"", ""retrieval"", ""procedural memory"", ""validation""]"
siga,reference,283,89,0.314488,0.6,0.666667,1.0,1.0,0.478495,0,[],"[""SIGA"", ""simulator-interface grounding"", ""coding agent"", ""retrieval"", ""procedural memory"", ""validation""]"
transformer,nadiyah_repaired,179,48,0.268156,0.3,0.555556,0.873016,0.666667,0.422907,0,[],"[""Transformer"", ""attention mechanism"", ""sequence transduction""]"
transformer,reference,179,88,0.49162,0.3,0.555556,1.0,1.0,0.659176,0,[],"[""attention mechanism"", ""WMT 2014"", ""BLEU""]"
bert,nadiyah_repaired,167,44,0.263473,0.2,0.125,0.644294,0.333333,0.417062,0,[],"[""BERT"", ""natural language processing""]"
bert,reference,167,95,0.568862,0.4,0.5,1.0,1.0,0.725191,0,[],"[""BERT"", ""language representation"", ""question answering"", ""language inference""]"
rag,nadiyah_repaired,242,51,0.210744,0.1,0.4,0.647018,0.333333,0.348123,0,[],"[""retrieval-augmented generation""]"
rag,reference,242,81,0.334711,0.4,0.4,1.0,1.0,0.501548,0,[],"[""retrieval-augmented generation"", ""parametric memory"", ""non-parametric memory"", ""seq2seq""]"
__aggregate__,nadiyah_repaired,199.0,48.6,0.261737,0.28,0.405,0.666146,0.333333,0.408316,0.0,,
__aggregate__,reference,199.0,81.8,0.432259,0.5,0.599445,1.0,1.0,0.597326,0.0,,
