source,task,rows
local_fixed_prompt,beginner_explanation,1
local_fixed_prompt,citation_recommendation,1
local_fixed_prompt,peer_review_critique,1
local_fixed_prompt,research_gap_identification,1
local_fixed_prompt,topic_search_synthesis,1
local_fixed_prompt,uploaded_paper_summary,1
peerread,peer_review_critique,3000
project_arxiv_rag,beginner_explanation,500
project_arxiv_rag,citation_recommendation,500
project_arxiv_rag,explain_recommendation,500
project_arxiv_rag,follow_up_qa,500
project_arxiv_rag,research_gap_identification,500
project_arxiv_rag,topic_search_synthesis,500
qasper,evidence_to_answer,3000
researchqa,adversarial,5
researchqa,comprehension,966
researchqa,lookup,976
researchqa,multi_hop,459
researchqa,refusal,594
scicite,citation_intent,3000
scitldr,paper_to_summary,1992
